00000000-0000;13Sudo37;password;Admin
18890416-1234;25ChCh01;pass123;Student
19260601-1234;25MaMo01;pass123;Student
19290504-1234;25AuHe01;pass123;Student
19240403-1234;25MaBr01;pass123;Student
19320227-1234;25ElTa01;pass123;Student
18991225-1234;25HuBo01;pass123;Student
19291112-1234;25GrKe01;pass123;Student
19310208-1234;25JaDe01;pass123;Student
19150829-1234;25InBe01;pass123;Student
19040118-1234;25CaGr01;pass123;Student
19080520-1234;25JaSt01;pass123;Student
19220610-1234;25JuGa01;pass123;Student
19070526-1234;25JoWa01;pass123;Student
19070512-1234;25KaHe01;pass123;Student
19080405-1234;25BeDa01;pass123;Student
19010201-1234;25ClGa01;pass123;Student
19240916-1234;25LaBa01;pass123;Student
19070522-1234;25LaOl01;pass123;Student
19131105-1234;25ViLe01;pass123;Student
19600909-1234;25HuGr01;pass123;Student
19810609-1234;25NaPo01;pass123;Student
19560709-1234;25ToHa01;pass123;Student
19490622-1234;25MeSt01;pass123;Student
19741111-1234;25LeDi01;pass123;Student
19631218-1234;25BrPi01;pass123;Student
19750604-1234;25AnJo01;pass123;Student
19630609-1234;25JoDe01;pass123;Student
19671028-1234;25JuRo01;pass123;Student
19610506-1234;25GeCl01;pass123;Student
19640726-1234;25SaBu01;pass123;Student
19701008-1234;25MaDa01;pass123;Student
19751005-1234;25KaWi01;pass123;Student
19620703-1234;25ToCr01;pass123;Student
19670620-1234;25NiKi01;pass123;Student
19720815-1234;25BeAf01;pass123;Student
19541228-1234;25DeWa01;pass123;Student
19660814-1234;25HaBe01;pass123;Student
19420713-1234;25HaFo01;pass123;Student
19690211-1234;25JeAn01;pass123;Student
19550319-1234;25BrWi01;pass123;Student
19900815-1234;25JeLa01;pass123;Student
19750105-1234;25BrCo01;pass123;Student
19841122-1234;25ScJo01;pass123;Student
19801112-1234;25RyGo01;pass123;Student
19740130-1234;25ChBa01;pass123;Student
19650404-1234;25JrDo01;pass123;Student
19701008-1234;25MaDa01;pass123;Student
19640726-1234;25SaBu01;pass123;Student
19680925-1234;25WiSm01;pass123;Student
19841122-1234;25ScJo01;pass123;Student
19741028-1234;25JoPh01;pass123;Student
19740820-1234;25AmAd01;pass123;Student
19750807-1234;25ChTh01;pass123;Student
19740130-1234;25ChBa01;pass123;Student
19690514-1234;25CaBl01;pass123;Student
19640407-1234;25RuCr01;pass123;Student
19760322-1234;25ReWi01;pass123;Student
19681012-1234;25HuJa01;pass123;Student
19701008-1234;25MaDa01;pass123;Student
19640726-1234;25SaBu01;pass123;Student
19600817-1234;25SePe01;pass123;Student
19900815-1234;25JeLa01;pass123;Student
19570429-1234;25DaDa01;pass123;Student
19490622-1234;25MeSt01;pass123;Student
19670620-1234;25NiKi01;pass123;Student
19750105-1234;25BrCo01;pass123;Student
19841122-1234;25ScJo01;pass123;Student
19801112-1234;25RyGo01;pass123;Student
19740130-1234;25ChBa01;pass123;Student
19650404-1234;25JrDo01;pass123;Student
19881106-1234;25EmSt01;pass123;Student
19601108-1234;25MiNy01;pass123;Student
19791228-1234;25NoRa01;pass123;Student
19510613-1234;25StSk01;pass123;Student
19791125-1234;25JoKi01;pass123;Student
